label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p2,56,0.5535714285714286,0.4527284473033646,1.5900381710184865,25.352793048988417,10.814407777835651,R2,BRENT_eia,all
,p3,26,0.5769230769230769,0.39441790229827045,1.5675880834928857,10.254865459755031,5.156766060763244,R2,BRENT_eia,all
,p4,23,0.6521739130434783,0.5865241398729245,2.070287751791812,13.490055217077265,3.20680722891567,R2,BRENT_eia,all
,p1,32,0.46875,-0.1809897847472654,0.8416242044365919,-5.791673111912493,14.131848252193858,R2,BRENT_eia,with_trend
,p2,24,0.625,0.8465436842725375,2.3639697108981563,20.3170484225409,9.931096429055298,R2,BRENT_eia,with_trend
,p3,14,0.5714285714285714,0.6114119684058009,1.9323892832140608,8.559767557681212,4.246328890225657,R2,BRENT_eia,with_trend
,p4,9,0.6666666666666666,0.8213989355034372,2.792301719234486,7.392590419530935,1.4885057471264302,R2,BRENT_eia,with_trend
,p1,48,0.5208333333333334,0.016042288906908193,1.0187431778339489,0.7700298675315933,14.696707669649285,R2,BRENT_eia,counter_trend
,p2,32,0.5,0.15736701957648497,1.1793833667576992,5.035744626447519,11.854868339615336,R2,BRENT_eia,counter_trend
,p3,12,0.5833333333333334,0.14125815850615167,1.1907395225818815,1.6950979020738202,4.07949308755763,R2,BRENT_eia,counter_trend
,p4,14,0.6428571428571429,0.43553319982473787,1.7190827503179626,6.09746479754633,3.677431104794872,R2,BRENT_eia,counter_trend
,p1,38,0.42105263157894735,-0.35777615632667004,0.6411485362247619,-13.595493940413462,21.408961887540126,R2,BRENT_eia,vol_high
,p2,23,0.6521739130434783,0.8544450306837935,2.314037065544141,19.65223570572725,4.738278917499263,R2,BRENT_eia,vol_high
,p3,14,0.5714285714285714,0.5107858849219671,1.7709100622220293,7.151002388907539,4.207717284894322,R2,BRENT_eia,vol_high
,p4,8,0.625,0.6394386540401693,2.2316475217690948,5.1155092323213545,1.4885057471264302,R2,BRENT_eia,vol_high
,p1,40,0.575,0.20173942979397674,1.2103909947536506,8.06957719175907,8.588089373748506,R2,BRENT_eia,vol_low
,p2,33,0.48484848484848486,0.172744161917005,1.2035009334262838,5.700557343261165,11.623782834262656,R2,BRENT_eia,vol_low
,p3,12,0.5833333333333334,0.25865525590395766,1.3530571281116834,3.103863070847492,3.560878373962477,R2,BRENT_eia,vol_low
,p4,15,0.6666666666666666,0.558303065650394,1.9909824210654767,8.37454598475591,4.7837303058387555,R2,BRENT_eia,vol_low
,p1,0,,,,0.0,,R3,WTI_ohlc,all
,p2,26,0.46153846153846156,0.14063341199503707,1.2662131646313017,3.656468711870964,6.214970075132047,R3,WTI_ohlc,all
,p3,10,0.5,0.48734409168588655,2.1438261092598876,4.873440916858866,4.260648430216569,R3,WTI_ohlc,all
,p4,0,,,,0.0,,R3,WTI_ohlc,all
,p1,0,,,,0.0,,R3,WTI_ohlc,with_trend
,p2,8,0.5,0.06798827519489407,1.132188230517913,0.5439062015591526,1.208165704319505,R3,WTI_ohlc,with_trend
,p3,4,0.25,-0.528433194570153,0.30803092321030945,-2.113732778280612,3.054663639142702,R3,WTI_ohlc,with_trend
,p4,0,,,,0.0,,R3,WTI_ohlc,with_trend
,p1,0,,,,0.0,,R3,WTI_ohlc,counter_trend
,p2,18,0.4444444444444444,0.1729201394617673,1.3235349877596052,3.112562510311811,5.559954254456217,R3,WTI_ohlc,counter_trend
,p3,6,0.6666666666666666,1.164528949189913,6.793749429391858,6.987173695139477,1.2059847910738672,R3,WTI_ohlc,counter_trend
,p4,0,,,,0.0,,R3,WTI_ohlc,counter_trend
,p1,0,,,,0.0,,R3,WTI_ohlc,vol_high
,p2,9,0.6666666666666666,0.5588013509330357,3.014407547413289,5.029212158397321,1.0080109864957647,R3,WTI_ohlc,vol_high
,p3,5,1.0,1.826817869415087,inf,9.134089347075435,0.0,R3,WTI_ohlc,vol_high
,p4,0,,,,0.0,,R3,WTI_ohlc,vol_high
,p1,0,,,,0.0,,R3,WTI_ohlc,vol_low
,p2,15,0.3333333333333333,-0.22288389349437934,0.672945761106949,-3.34325840241569,6.133968195342541,R3,WTI_ohlc,vol_low
,p3,5,0.0,-0.8521296860433137,0.0,-4.260648430216569,4.260648430216569,R3,WTI_ohlc,vol_low
,p4,0,,,,0.0,,R3,WTI_ohlc,vol_low
,p1,75,0.38666666666666666,-0.252345412759756,0.7748489332313528,-18.9259059569817,22.88874573442083,R3,WTI_eia,all
,p2,48,0.5833333333333334,0.38547313516275933,1.4474155123881391,18.502710487812447,10.610178700116476,R3,WTI_eia,all
,p3,22,0.4090909090909091,0.07750306014032347,1.0815409967857799,1.7050673230871163,7.850717778786358,R3,WTI_eia,all
,p4,21,0.6190476190476191,1.0277125744146458,2.758923150996036,21.581964062707563,3.8600501321048775,R3,WTI_eia,all
,p1,36,0.3333333333333333,-0.626474302478144,0.4865833709458739,-22.553074889213182,26.181556903838466,R3,WTI_eia,with_trend
,p2,23,0.4782608695652174,0.17838531067496693,1.1618388274504823,4.10286214552424,12.084220552211518,R3,WTI_eia,with_trend
,p3,11,0.36363636363636365,0.03482312003913502,1.0344295320425299,0.38305432043048526,4.981276344945938,R3,WTI_eia,with_trend
,p4,10,0.6,0.9332478228317852,2.538024302616069,9.332478228317852,3.085248703108336,R3,WTI_eia,with_trend
,p1,40,0.45,0.0939326479633215,1.0936254014612945,3.75730591853286,10.30601943042053,R3,WTI_eia,counter_trend
,p2,27,0.7037037037037037,0.7281439972025695,2.228503804283261,19.659887924469377,6.497008699981586,R3,WTI_eia,counter_trend
,p3,12,0.5,0.20870645480274444,1.255955807718023,2.5044774576329334,7.543231147770313,R3,WTI_eia,counter_trend
,p4,11,0.6363636363636364,1.1135896213081553,2.9750381271964463,12.24948583438971,2.204737783472817,R3,WTI_eia,counter_trend
,p1,36,0.3611111111111111,-0.41267543413091884,0.6078061857061565,-14.856315628713078,15.211241737087473,R3,WTI_eia,vol_high
,p2,22,0.6363636363636364,0.6375551859956036,2.0842321460516455,14.026214091903277,5.95688861419484,R3,WTI_eia,vol_high
,p3,8,0.375,0.18505985598013358,1.187454707930988,1.4804788478410686,3.040856031128403,R3,WTI_eia,vol_high
,p4,10,0.7,1.5282432535882837,4.532908873622945,15.282432535882837,3.8600501321048775,R3,WTI_eia,vol_high
,p1,39,0.41025641025641024,-0.10434846995560558,0.9118729312675298,-4.069590328268617,12.987883918501339,R3,WTI_eia,vol_low
,p2,26,0.5384615384615384,0.1721729383041988,1.157522689838576,4.476496395909169,10.522950947521071,R3,WTI_eia,vol_low
,p3,15,0.4,-0.30800040795656647,0.741282694473397,-4.620006119348497,9.86737660012219,R3,WTI_eia,vol_low
,p4,11,0.5454545454545454,0.5726846842567931,1.7929673810247564,6.299531526824724,2.6934643143544594,R3,WTI_eia,vol_low
,p1,77,0.45454545454545453,0.014420909196040237,1.013697770935456,1.1104100080950983,23.85582585890665,R3,BRENT_eia,all
,p2,55,0.45454545454545453,0.4275288890424397,1.447351876207762,23.514088897334183,11.660990873835011,R3,BRENT_eia,all
,p3,26,0.5384615384615384,0.5430207696047186,1.7192526407576125,14.118540009722683,8.753427502869279,R3,BRENT_eia,all
,p4,21,0.5714285714285714,0.618561127781342,1.8942652092316759,12.989783683408183,6.513258811382876,R3,BRENT_eia,all
,p1,30,0.4,-0.23169004749354577,0.815309186876007,-6.950701424806373,11.252298274083625,R3,BRENT_eia,with_trend
,p2,23,0.5652173913043478,1.0368152055408821,2.4637193982946797,23.846749727440287,9.931096429055298,R3,BRENT_eia,with_trend
,p3,14,0.5714285714285714,0.8239984430136976,2.2565788001407308,11.535978202191767,4.239538364367332,R3,BRENT_eia,with_trend
