bot,series,start,ruined,stopped_out,years_to_ruin,years_observed,peak_equity_before_ruin,closed_trades,win_rate
grid_hedged,Brent (BRENT_W),2007-10-01,True,True,0.42063492063492064,0.42063492063492064,0.9996499999999999,22,1.0
grid_hedged,Brent (BRENT_W),2007-11-01,True,True,0.5119047619047619,0.5119047619047619,1.1702740099510687,28,1.0
grid_hedged,Brent (BRENT_W),2007-12-03,True,True,0.373015873015873,0.373015873015873,1.0447970326239684,21,1.0
grid_hedged,Brent (BRENT_W),2008-01-02,True,True,0.30158730158730157,0.30158730158730157,0.9996499999999999,18,1.0
grid_hedged,Brent (BRENT_W),2008-02-01,True,True,0.20634920634920634,0.20634920634920634,0.9996499999999999,10,1.0
grid_hedged,Brent (BRENT_W),2008-03-03,True,True,0.21825396825396826,0.21825396825396826,1.054611721638405,12,1.0
grid_hedged,Brent (BRENT_W),2008-04-01,True,True,0.1388888888888889,0.1388888888888889,0.9996499999999999,9,1.0
grid_hedged,Brent (BRENT_W),2008-05-01,True,True,0.1746031746031746,0.1746031746031746,0.9996499999999999,27,1.0
grid_hedged,Brent (BRENT_W),2008-06-02,True,True,0.2698412698412698,0.2698412698412698,1.0021479981069663,20,1.0
grid_hedged,Brent (BRENT_W),2008-07-01,True,True,0.1746031746031746,0.1746031746031746,1.0361892908765868,13,1.0
grid_hedged,Brent (BRENT_W),2008-08-01,True,True,0.12301587301587301,0.12301587301587301,0.9996499999999999,16,1.0
grid_hedged,Brent (BRENT_W),2008-09-01,True,True,0.11507936507936507,0.11507936507936507,0.9996499999999999,19,1.0
grid_hedged,Brent (BRENT_W),2008-10-01,True,True,0.03968253968253968,0.03968253968253968,0.9996499999999999,8,1.0
grid_hedged,Brent (BRENT_W),2008-11-03,True,True,0.03968253968253968,0.03968253968253968,0.9996499999999999,13,1.0
grid_hedged,Brent (BRENT_W),2008-12-01,True,True,0.503968253968254,0.503968253968254,1.1809033415922037,64,1.0
grid_hedged,Brent (BRENT_W),2009-01-02,True,True,0.13095238095238096,0.13095238095238096,0.9996499999999999,40,1.0
grid_hedged,Brent (BRENT_W),2009-02-02,True,True,0.2698412698412698,0.2698412698412698,1.0292740582689395,33,1.0
grid_hedged,Brent (BRENT_W),2009-03-02,True,True,0.2222222222222222,0.2222222222222222,1.0288164601713674,25,1.0
grid_hedged,Brent (BRENT_W),2009-04-01,True,True,0.1626984126984127,0.1626984126984127,1.0140996588215083,13,1.0
grid_hedged,Brent (BRENT_W),2009-05-01,True,True,0.10714285714285714,0.10714285714285714,1.0192976947563275,26,1.0
grid_hedged,Brent (BRENT_W),2009-06-01,True,True,1.7817460317460319,1.7817460317460319,1.5086285808527005,82,1.0
grid_hedged,Brent (BRENT_W),2009-07-01,True,True,1.6865079365079365,1.6865079365079365,1.3595628175631966,75,1.0
grid_hedged,Brent (BRENT_W),2009-08-03,True,True,1.6031746031746033,1.6031746031746033,1.4192945213929644,70,1.0
grid_hedged,Brent (BRENT_W),2009-09-01,True,True,1.5198412698412698,1.5198412698412698,1.4160411705587834,66,1.0
grid_hedged,Brent (BRENT_W),2009-10-01,True,True,1.4325396825396826,1.4325396825396826,1.4171696705551247,61,1.0
grid_hedged,Brent (BRENT_W),2009-11-02,True,True,1.3452380952380953,1.3452380952380953,1.3216864265475243,57,1.0
grid_hedged,Brent (BRENT_W),2009-12-01,True,True,1.2619047619047619,1.2619047619047619,1.3017591347840225,56,1.0
grid_hedged,Brent (BRENT_W),2010-01-04,True,True,1.1746031746031746,1.1746031746031746,1.2228352156376991,48,1.0
grid_hedged,Brent (BRENT_W),2010-02-01,True,True,1.0873015873015872,1.0873015873015872,1.192462076661402,44,1.0
grid_hedged,Brent (BRENT_W),2010-03-01,True,True,0.9484126984126984,0.9484126984126984,1.0563483907112363,38,1.0
grid_hedged,Brent (BRENT_W),2010-04-01,True,True,0.8571428571428571,0.8571428571428571,1.0457342909522644,37,1.0
