variant,symbol,year,auc,trend_auc,n
lgbm_y5_pooled,XNGUSD,2019,0.4289016618767962,0.4146257653379982,257
lgbm_y5_pooled,XNGUSD,2020,0.5335324960370685,0.5089928057553956,257
lgbm_y5_pooled,XNGUSD,2021,0.6141265393888056,0.47833452792076625,252
lgbm_y5_pooled,XNGUSD,2022,0.5791953144894321,0.488540870893812,251
lgbm_y5_pooled,XNGUSD,2023,0.44568264648163725,0.3810274740678441,251
lgbm_y5_pooled,XNGUSD,2024,0.5515625,0.18125,56
lgbm_y5_pooled,XTIUSD,2005,0.5136895268474216,0.459662413609782,251
lgbm_y5_pooled,XTIUSD,2006,0.6530481557377049,0.5176741803278688,250
lgbm_y5_pooled,XTIUSD,2007,0.48152537646402677,0.5250976017847183,251
lgbm_y5_pooled,XTIUSD,2008,0.49072662601626016,0.6196646341463413,251
lgbm_y5_pooled,XTIUSD,2009,0.49715099715099714,0.4527324527324527,251
lgbm_y5_pooled,XTIUSD,2010,0.4978335084033613,0.40283613445378147,248
lgbm_y5_pooled,XTIUSD,2011,0.4266431924882629,0.4504434011476265,250
lgbm_y5_pooled,XTIUSD,2012,0.4216297976933257,0.4782882712548056,252
lgbm_y5_pooled,XTIUSD,2013,0.4394167923579689,0.3797134238310709,253
lgbm_y5_pooled,XTIUSD,2014,0.6438186813186814,0.5655906593406593,244
lgbm_y5_pooled,XTIUSD,2015,0.4856285130301482,0.4662749105774144,255
lgbm_y5_pooled,XTIUSD,2016,0.570091743119266,0.4606116207951071,259
lgbm_y5_pooled,XTIUSD,2017,0.4095357441222102,0.4757727652464494,259
lgbm_y5_pooled,XTIUSD,2018,0.5087064676616916,0.5317460317460317,260
lgbm_y5_pooled,XTIUSD,2019,0.5742726824457594,0.4313979289940829,260
lgbm_y5_pooled,XTIUSD,2020,0.41036928344338464,0.48159696747371,257
lgbm_y5_pooled,XTIUSD,2021,0.504384401511371,0.42425322592143727,252
lgbm_y5_pooled,XTIUSD,2022,0.5973876296580868,0.5065949545396338,251
lgbm_y5_pooled,XTIUSD,2023,0.41163682864450124,0.34884910485933507,251
