fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2006,-0.037935856243762736,0.0016641437562372463,-0.7983472150661086,66,-5.74785700663072,0.4696969696969697
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2007,-0.023532943668859264,0.004667056331140729,-0.5256622913006264,47,-5.007009291246652,0.40425531914893614
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2008,0.03911345965601559,0.0607134596560156,0.5178737218508392,36,10.864849904448779,0.5
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2009,0.07702153230865177,0.09862153230865178,0.9468495487112045,36,21.3948700857366,0.5277777777777778
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2010,-0.04774012744025327,-0.030340127440253273,-1.118577283264243,29,-16.462112910432165,0.4827586206896552
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2011,0.04972271159727082,0.07192271159727082,1.2737705884961368,37,13.438570701965082,0.5405405405405406
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2012,-0.04209789154874485,-0.01809789154874486,-1.3979808375725165,40,-10.524472887186212,0.5
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2013,0.018410871364653067,0.03521087136465306,0.918578535390242,28,6.57531120166181,0.5714285714285714
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2014,-0.034475337414397386,-0.015875337414397395,-1.3549669143530918,31,-11.121076585289483,0.3870967741935484
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2015,-0.05330054267785185,-0.036500542677851855,-0.9542051094475529,28,-19.03590809923281,0.42857142857142855
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2016,0.01902566306507186,0.03882566306507185,0.38878231867857144,33,5.765352443961167,0.5454545454545454
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2017,-0.04819784111981266,-0.017597841119812663,-1.083602949365151,51,-9.450557082316209,0.43137254901960786
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2018,-0.05500000054826425,-0.023800000548264255,-1.2716331851313851,52,-10.576923182358511,0.36538461538461536
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2019,-0.10208081213621786,-0.07808081213621787,-1.615889835047711,40,-25.520203034054468,0.5
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2020,0.056426173639305036,0.058226173639305046,1.5651399038737828,3,188.08724546435013,0.3333333333333333
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2005,0.0,0.0,,0,,
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2006,-0.017288196571377472,-0.009288196571377472,-1.1798326798239276,4,-43.22049142844368,0.25
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2007,0.0944378833171338,0.17243788331713383,1.3274521359286873,39,24.214841876188157,0.5641025641025641
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2008,-0.024970055606117453,0.09302994439388257,-0.3751087245954518,59,-4.232212814596177,0.5254237288135594
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2009,0.048981677794452484,0.1729816777944525,0.49814385709779296,62,7.900270612008462,0.5483870967741935
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2010,0.0007960338289333766,0.04879603382893338,0.018940565506034342,24,0.33168076205557434,0.5416666666666666
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2011,-0.02508989545093014,0.05491010454906986,-0.9803125663539832,40,-6.272473862732536,0.425
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2012,-0.07996941485096612,0.04403058514903391,-1.2326187262303827,62,-12.898292717897764,0.45161290322580644
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2013,-0.10019079207971565,-0.028190792079715643,-3.188323828162344,36,-27.83077557769879,0.3333333333333333
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2014,0.030943273233175896,0.1469432732331759,0.5927273549492431,58,5.335047109168258,0.4482758620689655
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2015,-0.1538563507997537,-0.027856350799753682,-2.7315886653723536,63,-24.421642984087892,0.3333333333333333
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2016,0.029672611723333242,0.15567261172333324,0.7655563478712942,63,4.709938368783051,0.5238095238095238
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2017,-0.09824295639561069,-0.018242956395610688,-2.9584090289267593,40,-24.560739098902676,0.35
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2018,-0.07639285988800373,0.049607140111996295,-0.7944410538014707,63,-12.125850775873605,0.31746031746031744
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2019,-0.22107860519594097,-0.12907860519594094,-3.72953934905809,46,-48.06056634694369,0.2391304347826087
B,XNGUSD,XNGUSD|mom|on1000|q0.8|14:30,2020,-0.033312659099291125,0.03868734090070891,-0.5919825793444805,36,-9.253516416469756,0.5833333333333334
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2005,-0.036843357120111095,-0.012843357120111087,-1.0305617025273024,12,-30.702797600092577,0.4166666666666667
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2006,-0.033274311445300346,-0.015274311445300337,-0.8903324802733608,9,-36.97145716144483,0.5555555555555556
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2007,-0.04935040698858771,-0.03135040698858771,-2.3255825455360264,9,-54.83378554287523,0.1111111111111111
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2008,-0.0023908393683869933,0.023609160631613002,-0.07916444428327249,13,-1.8391072064515372,0.46153846153846156
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2009,0.05471679028168519,0.08471679028168522,0.7661398849428349,15,36.47786018779013,0.4666666666666667
